Utterance	POV Converted Text
Remind CN to read the claim conditions before applying	SCN reminds to read the claim conditions before applying
Remind CN to present original document while verifying	SCN reminds to present original document while verifying
Remind CN to get copy of the report made at the police station 	SCN reminds to get copy of the report made at the police station 
Remind CN to take work from home next week 	SCN reminds to take work from home next week 
Remind CN to contact the executive at sun network corporate office	SCN reminds to contact the executive at sun network corporate office
Remind CN to check the job opening at amazon, chennai 	SCN reminds to check the job opening at amazon, chennai 
Remind CN to change subtitle language before downloading the movie 	SCN reminds to change subtitle language before downloading the movie 
Remind CN to check refund status after 8 working days 	SCN reminds to check refund status after 8 working days 
Remind CN to order burmese food at busago, mumbai 	SCN reminds to order burmese food at busago, mumbai 
Remind CN to pre-apply casual leave for the january month 	SCN reminds to pre-apply casual leave for the january month 
Remind CN to contact giffgaff agenttoday 	SCN reminds to contact giffgaff agenttoday 
Remind CN to create twitter account before this week 	SCN reminds to create twitter account before this week 
Remind CN to read product guidelines before start using it 	SCN reminds to read product guidelines before start using it 
Ask CN whether to participate in shot put or discus throw	SCN is asking whether to paricipate in shot put or discus throw
Ask CN whether to play in xbox or ps4 	SCN is asking whether to play in xbox or ps4 
Ask CN whether to get persian or burmese cat breed	SCN is asking whether to get persian or burmese cat breed
Ask CN whether to book tickets for Bolshoi Ballet or Hedwig Dances	SCN is asking whether to book tickets for Bolshoi Ballet or Hedwig Dances
Ask CN whether they want visit mumbai or bangalore 	SCN is asking whether they want visit mumbai or bangalore 
Ask CN whether they prefer cold tea or hot tea 	SCN is asking whether they prefer cold tea or hot tea 
Ask CN whether to play in miramar map or sanhok map	SCN is asking whether to play in miramar map or sanhok map
Ask CN whether they are meeting in mc'donald or kfc	SCN is asking whether they are meeting in mc'donald or kfc
Ask CN whether to make noodle or fried rice 	SCN is asking whether to make noodle or fried rice 
Ask CN whether to get cookies or brownies 	SCN is asking whether to get cookies or brownies 
Ask CN whether to book Med. Dark Blue or Med. Dark Gray	SCN is asking whether to book Med. Dark Blue or Med. Dark Gray
Ask CN whether to book buffet at AB's or sigree global grill	SCN is asking whether to book buffet at AB's or sigree global grill
Ask CN whether to mail or message the data usage 	SCN is asking whether to mail or message the data usage 
Ask CN whether to pay via upi payment or paytm payment	SCN is asking whether to pay via upi payment or paytm payment
Ask CN whether to bring original documents or photo copies	SCN is asking whether to bring original documents or photo copies
tell CN to shop foldable laptop.	hi CN, SCN says you to shop foldable laptop.
tell CN to send the gifts before 5pm.	hi CN, SCN tells you to send the gifts before 5pm.
can you tell CN to deliver a speech in school on 21st mar.	hi CN, SCN tells you to deliver a speech in school on 21st mar.
tell CN to make cupcakes by 5pm.	hi CN, SCN tells you to make cupcakes by 5pm.
can you tell CN to drop Sam in office.	hi CN, SCN tells you to drop Sam in office.
tell CN to bring the shopping list.	hi CN, SCN says you to bring the shopping list.
can you tell CN to go to bed early.	hi CN, SCN tells you to go to bed early.
tell CN to investigate about patrick.	hi CN, SCN says you to investigate about patrick.
please tell CN to choose a dress for party.	hi CN, SCN tells you to choose a dress for party.
can you tell CN to wish benna on 1st nov.	hi CN, SCN says you to wish benna on 1st nov.
remind CN to buy cricket bat on sunday.	hi CN, SCN says you to buy cricket bat on sunday.
remind CN to go to theme park sharply at 1pm.	hi CN, SCN says you to go to theme park sharply at 1pm.
ask CN to wash her clothes before tomorrow.	hi CN, SCN asks you to wash her clothes before tomorrow.
can you ask CN to give pravin a present on his birthday.	hi CN, SCN asks you to give pravin a present on his birthday.
ask CN to send rohan a gift card on 19th june.	hi CN, SCN asks you to send rohan a gift card on 19th june.
can you ask CN to sell the washing machine.	hi CN, SCN asks you to sell the washing machine.
ask CN to make halwa at 7pm.	hi CN, SCN asks you to make halwa at 7pm.
can you ask CN to use the computer.	hi CN, SCN asks you to use the computer.
can you ask CN to invite aishwarya on Sunday.	hi CN, SCN asks you to invite aishwarya on Sunday.
ask CN to check the progress of work before 5pm.	hi CN, SCN asks you to check the progress of work before 5pm.
ask CN to go to gynocologist on Sunday.	hi CN, SCN asks you to go to gynocologist on Sunday.
can you ask CN to buy apple In the market.	hi CN, SCN asks you to buy apple In the market.
ask CN to pay the postpaid bill on 17th mar.	hi CN, SCN is asking you to pay the postpaid bill on 17th mar.
ask CN to call roy at 7pm.	hi CN, SCN tells you to call roy at 7pm.
can you tell CN to bring the laptop.	hi CN, SCN tells you to bring the laptop.
tell CN to be in the market before 12pm.	hi CN, SCN tells you to be in the market before 12pm.
can you ask CN to attend the farewell on 20th dec	hi CN, SCN asks you to attend the farewell on 20th dec
tell CN to pay the fine before 4pm.	hi CN, SCN tells you to pay the fine before 4pm.
ask CN to buy the white shoe.	hi CN, SCN asks you to buy the white shoe.
tell CN to reach the resort by 2pm.	hi CN, SCN tells you to reach the resort by 2pm.
can you tell CN to be in the park at 3pm.	hi CN, SCN tells you to be in the park at 3pm.
ask CN to bring the tomato ketchup.	hi CN, SCN asks you to bring the tomato ketchup.
tell CN to join the radio station.	hi CN, SCN tells you to join the radio station.
can you tell CN to buy wall painting.	hi CN, SCN tells you to buy wall painting.
tell CN to bring the luggage tomorrow.	hi CN, SCN tells you to bring the luggage tomorrow.
can you ask CN to buy toys.	hi CN, SCN asks you to buy toys.
tell CN there is a rainbow in the sky.	hi CN, SCN tells there is a rainbow in the sky.
tell CN ice cream is delicious.	hi CN, SCN tells ice cream is delicious.
can you tell CN this house has 5 bedroom.	hi CN, SCN tells this house has 5 bedroom.
tell CN My sister is a lawyer.	hi CN, SCN tells My sister is a lawyer.
tell CN she is so rude.	hi CN, SCN says she is so rude.
can you tell CN rudy is showing oil painting to ali.	hi CN, SCN says rudy is showing oil painting to ali.
tell CN the plane lands at 5 am.	hi CN, SCN says the plane lands at 5 am.
can you tell CN we move to our house next month.	hi CN, SCN says we move to our house next month.
can you tell CN to purchase a smartwatch.	hi CN, SCN tells you to purchase a smartwatch.
tell CN to find the issue.	hi CN, SCN asks you to find the issue.
tell CN to send the send the children in school bus.	hi CN, SCN asks you to send the children in school bus.
tell CN to wish uma happy new year at 12 am	hi CN, SCN tells you to wish uma happy new year at 12am.
can you tell CN to wishashika happy SCNtmas at 12 am	hi CN, SCN tells you to wish ashika happy SCNtmas at 12am.
tell CN to buy vitamin supplements .	hi CN, SCN tells you to buy vitamin supplements .
can you ask CN to buy zebronics speaker.	hi CN, SCN asks you to buy zebronics speaker.
ask CN to build skill.	hi CN, SCN is asking you to build skill.
ask CN to call little rose at 1pm.	hi CN, SCN tells you to call little rose at 1pm.
